licensing_time_data,miles_data,general_transmission_data,make_data,type_data,transmission_data,engine_data,body_structure_data,length_width_height_data,wheelbase_data,total_mass_data,backtrunk_size_data,displacement_data,intake_style_data,cylinder_data,housepower_data,gas_engine_torque_data,fuel_type_data,electric_engine_type_data,battery_type_data,battery_volume_data,battery_power_data,battery_torque_data,endurance_miles_data,vehicle_id,location,model
2017-03,1.35万公里,自动,特斯拉,中大型SUV,1档固定齿比变速箱,,5门5座SUV,5037/2070/1684,2965,2391,-,,,,,,,交流 / 异步,锂离子电池,90,386,-,489,64045999,上海,特斯拉Model X 2016款 MODEL X 90D
2018-05,0.01万公里,自动,江淮汽车,微型车,1档固定齿比变速箱,,5门4座两厢车,3630/1670/1475,2390,1150,-,,,,,,,交流 / 异步,磷酸铁锂电池,19.66,60,200,156,41519748,合肥,江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版
2016-07,4.87万公里,自动,北汽新能源,小型车,1档固定齿比变速箱,,5门5座两厢车,4025/1720/1503,2500,1295,220,,,,,,,永磁 / 同步,磷酸铁锂电池,25.6,45,144,150,56446977,上海,北汽新能源 EV系列 2016款 EV160 轻快版
2015-06,3.53万公里,自动,江淮汽车,小型车,1档固定齿比变速箱,,4门4座三厢车,4190/1650/1445,2400,-,-,,,,,,,永磁 / 同步,磷酸铁锂电池,19.2,42,170,152,61668765,厦门,江淮iEV 2014款 iEV4
2017-10,1.98万公里,自动,江淮汽车,微型车,1档固定齿比变速箱,,5门4座两厢车,3630/1670/1475,2390,1150,-,,,,,,,交流 / 异步,磷酸铁锂电池,19.66,60,200,156,59266308,济宁,江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版
2015-11,0.99万公里,自动,知豆电动车,微型车,1档固定齿比变速箱,,3门2座两厢车,2808/1540/1555,1765,690,-,,,,,,,-,-,-,9,85,180,63907901,邢台,知豆D2 2015款 D2
2015-08,7.82万公里,自动,广汽乘用车,中型车,1档固定齿比变速箱,1.0L 61马力 L4,4门5座三厢车,4800/1819/1484,2710,1735,-,1.0,自然吸气,L4,61,-,国四,,,,,,,52746352,广州,传祺GA5 2015款 增程式 尊享版
2017-08,0.52万公里,自动,知豆电动车,微型车,1档固定齿比变速箱,,3门2座两厢车,2765/1540/1555,1765,724,-,,,,,,,永磁,锂离子电池,18,15,95,180,60717151,济宁,知豆D1 2016款 标准型
2017-07,1.41万公里,自动,奇瑞新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3564/1620/1527,2340,1128,-,,,,,,,永磁 / 同步,三元锂电池,23.6,41.8,150,200,61918395,北京,奇瑞eQ 2017款 豪华型
2015-04,4.51万公里,自动,江淮汽车,小型车,1档固定齿比变速箱,,4门4座三厢车,4190/1650/1445,2400,-,-,,,,,,,永磁 / 同步,磷酸铁锂电池,19.2,42,170,152,59817081,上海,江淮iEV 2015款 iEV4 豪华型
2018-06,0.01万公里,自动,长安汽车,微型车,1档固定齿比变速箱,,5门4座两厢车,3580/1570/1485,2345,980,-,,,,,,,交流 / 异步,三元锂电池,17.3,30,150,151,61990050,唐山,长安欧尚 奔奔mini-e 2017款 标准型
2017-12,1.03万公里,自动,知豆电动车,微型车,1档固定齿比变速箱,,3门2座两厢车,2811/1540/1555,1765,775,-,,,,,,,永磁 / 同步,三元锂电池,18,15,90,155,62776133,郑州,知豆D2 2017款 D2S
2017-05,2.57万公里,自动,江铃集团新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3580/1570/1485,2345,980,-,,,,,,,交流 / 异步,三元锂电池,17.3,30,130,152,60702035,杭州,江铃集团新能源 江铃E200 2016款 标准型
